Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		I1		E2		I2		E3		I3		E4		I4		
(ms)		(V)		(A)		(V)		(A)		(V)		(A)		(V)		(A)		
0.000		3.5		0.002		-181.3		-0.006		176.6		0.262		178.7		0.271		
0.098		10.1		0.000		-188.7		-0.013		173.1		0.247		173.5		0.254		
0.195		17.2		0.004		-191.8		-0.004		169.1		0.245		169.1		0.252		
0.293		28.2		-0.004		-192.7		0.002		167.8		0.243		167.0		0.246		
0.391		35.6		0.011		-197.0		-0.008		159.0		0.245		159.6		0.239		
0.488		41.8		0.008		-199.7		-0.004		156.8		0.224		155.7		0.233		
0.586		51.5		0.004		-200.5		0.000		152.9		0.232		151.3		0.220		
0.684		56.8		0.008		-204.1		-0.008		145.9		0.220		147.0		0.209		
0.781		63.8		0.004		-205.4		-0.002		144.6		0.201		143.9		0.216		
0.879		73.0		-0.004		-208.9		0.002		140.6		0.207		137.8		0.197		
0.977		75.7		0.011		-209.7		-0.008		131.9		0.201		134.3		0.190		
1.074		82.3		0.000		-208.4		0.004		131.4		0.194		127.4		0.188		
1.172		87.6		0.008		-211.9		-0.006		128.4		0.177		126.1		0.190		
1.270		93.3		-0.006		-212.8		0.000		120.5		0.182		121.7		0.175		
1.367		99.4		-0.006		-213.2		-0.015		114.8		0.167		117.0		0.171		
1.465		106.5		-0.002		-215.0		-0.006		110.8		0.167		111.3		0.160		
1.563		106.1		0.011		-215.0		-0.008		106.9		0.139		107.8		0.156		
1.660		110.9		0.160		-215.0		0.004		103.8		0.004		110.9		0.165		
1.758		117.1		0.171		-213.7		0.008		98.6		0.006		118.7		0.169		
1.855		120.6		0.188		-215.4		-0.008		92.0		0.002		121.7		0.171		
1.953		127.6		0.194		-215.4		-0.002		85.4		-0.002		127.8		0.177		
2.051		129.8		0.192		-211.9		0.011		85.4		-0.002		128.7		0.188		
2.148		130.7		0.198		-214.6		0.002		77.5		0.002		133.9		0.197		
2.246		136.9		0.200		-215.0		-0.011		75.4		-0.006		136.5		0.209		
2.344		139.9		0.217		-214.6		-0.013		65.7		-0.006		142.2		0.201		
2.441		146.5		0.213		-212.4		-0.002		60.9		-0.006		144.3		0.214		
2.539		147.9		0.219		-211.1		0.000		50.8		0.006		149.1		0.233		
2.637		154.0		0.228		-211.5		0.000		47.8		0.002		151.3		0.229		
2.734		155.8		0.232		-202.7		-0.008		39.0		-0.006		157.8		0.224		
2.832		161.1		0.236		-200.1		0.013		33.3		-0.002		162.6		0.241		
2.930		162.4		0.249		-194.4		0.000		25.8		0.006		167.0		0.246		
3.027		169.0		0.257		-191.8		0.000		18.4		0.002		170.9		0.248		
3.125		175.1		0.251		-186.1		-0.004		10.5		-0.013		172.6		0.244		
3.223		177.3		0.255		-184.3		-0.004		3.5		-0.008		175.7		0.267		
3.320		178.7		0.268		-178.2		0.000		-0.9		-0.004		178.3		0.271		
3.418		184.8		0.276		-173.4		-0.011		-13.1		0.008		181.3		0.267		
3.516		184.8		0.287		-169.9		-0.006		-19.3		-0.011		187.8		0.284		
3.613		190.5		0.270		-164.6		-0.008		-31.1		-0.006		190.4		0.291		
3.711		194.1		0.287		-162.0		0.002		-38.6		0.004		193.9		0.295		
3.809		192.3		0.295		-156.3		-0.015		-42.5		-0.004		195.7		0.286		
