Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		I1		E2		Off		E3		Off		Off		Off		
(ms)		(V)		(A)		(V)		()		(V)		()		()		()		
0.000		6.6		0.006		175.1				-187.9								
0.098		16.7		-0.011		173.3				-192.7								
0.195		20.2		-0.008		165.9				-191.8								
0.293		28.1		-0.013		159.3				-197.8								
0.391		39.5		-0.004		158.0				-200.4								
0.488		43.9		0.000		154.9				-200.4								
0.586		50.0		-0.015		147.0				-204.8								
0.684		58.8		-0.013		144.4				-206.5								
0.781		64.5		-0.004		138.7				-205.6								
0.879		70.2		0.000		133.5				-208.6								
0.977		77.6		-0.006		128.7				-208.2								
1.074		82.5		0.002		129.5				-208.2								
1.172		89.0		-0.006		121.7				-210.8								
1.270		93.4		0.000		116.0				-213.8								
1.367		95.2		-0.006		111.6				-210.8								
1.465		100.9		-0.006		107.2				-211.7								
1.563		103.5		-0.002		106.8				-213.8								
1.660		114.5		-0.002		114.2				-213.8								
1.758		119.3		-0.011		116.4				-212.1								
1.855		120.6		-0.008		120.8				-213.4								
1.953		125.4		-0.006		126.9				-213.4								
2.051		131.6		0.000		130.9				-211.7								
2.148		135.5		-0.002		135.2				-213.0								
2.246		137.7		-0.002		139.2				-211.7								
2.344		140.8		0.004		143.1				-213.0								
2.441		146.9		-0.017		146.6				-210.4								
2.539		149.6		-0.013		150.1				-209.9								
2.637		153.9		-0.002		157.1				-207.8								
2.734		159.2		-0.023		157.5				-203.9								
2.832		163.6		-0.004		166.7				-201.3								
2.930		168.4		-0.004		169.4				-196.5								
3.027		169.7		-0.013		172.0				-188.3								
3.125		178.1		-0.008		174.2				-185.7								
3.223		180.7		-0.002		179.4				-183.2								
3.320		182.9		-0.004		181.6				-179.3								
3.418		184.6		-0.013		185.6				-174.1								
3.516		188.2		0.002		189.5				-167.6								
3.613		191.7		-0.004		189.5				-164.6								
3.711		195.6		-0.002		194.3				-161.6								
3.809		196.5		-0.002		196.1				-157.7								
3.906		199.6		-0.004		196.5				-148.2								
4.004		199.6		-0.008		199.6				-146.4								
4.102		205.3		-0.008		200.9				-143.8								
4.199		202.6		-0.004		202.6				-136.5								
4.297		205.7		-0.021		202.6				-130.9								
4.395		207.5		-0.008		204.8				-129.6								
4.492		206.6		-0.006		203.5				-124.0								
4.590		206.6		-0.008		202.6				-119.7								
4.688		210.5		-0.004		203.9				-114.5								
4.785		211.0		-0.015		205.7				-113.6								
4.883		206.1		-0.008		206.1				-104.1								
4.980		207.5		-0.008		209.6				-111.4								
5.078		207.5		-0.004		208.8				-118.4								
5.176		210.1		-0.008		206.6				-119.2								
5.273		207.5		-0.008		207.9				-125.7								
5.371		209.2		-0.015		207.0				-128.3								
5.469		207.5		-0.011		209.2				-134.8								
5.566		210.5		-0.006		207.0				-136.5								
5.664		209.2		0.000		208.8				-142.1								
5.762		204.8		-0.015		205.7				-146.9								
5.859		205.7		-0.008		203.9				-152.1								
5.957		204.4		-0.008		203.5				-152.9								
6.055		203.9		-0.006		200.4				-159.4								
6.152		200.4		0.006		197.4				-164.1								
6.250		193.9		-0.011		190.8				-167.2								
6.348		190.4		-0.008		186.9				-173.7								
6.445		183.3		-0.008		181.6				-178.0								
6.543		179.4		0.002		177.2				-179.7								
6.641		175.4		-0.004		174.2				-181.9								
6.738		172.4		0.000		170.2				-187.9								
6.836		168.9		-0.004		167.2				-190.9								
6.934		165.4		0.000		161.5				-190.5								
7.031		160.5		-0.015		156.2				-195.7								
7.129		157.9		0.000		158.4				-194.4								
7.227		150.9		-0.008		148.8				-199.1								
7.324		145.6		-0.008		147.9				-202.6								
7.422		141.7		0.000		140.5				-203.0								
7.520		136.0		-0.019		135.7				-204.8								
7.617		134.2		-0.002		132.6				-202.2								
7.715		128.9		-0.011		127.8				-205.2								
7.813		122.8		-0.002		125.2				-204.8								
7.910		121.1		-0.011		118.2				-207.3								
8.008		115.4		0.004		114.7				-205.6								
8.105		110.1		-0.011		108.5				-208.2								
8.203		108.3		0.002		108.5				-207.8								
8.301		101.3		-0.008		110.7				-209.1								
8.398		97.8		0.008		117.7				-209.9								
8.496		89.5		-0.006		122.5				-209.5								
8.594		85.5		-0.015		127.4				-210.8								
8.691		80.3		-0.006		129.5				-212.1								
8.789		76.3		-0.011		133.5				-205.6								
8.887		70.6		-0.015		138.7				-208.2								
8.984		64.9		-0.011		140.0				-207.8								
9.082		54.8		0.000		145.3				-206.9								
9.180		52.2		-0.017		151.9				-205.6								
9.277		41.7		-0.004		157.5				-203.9								
9.375		36.0		-0.004		160.2				-204.8								
9.473		26.3		-0.008		166.7				-199.1								
9.570		22.4		-0.011		167.2				-194.0								
9.668		12.7		-0.015		173.7				-190.9								
9.766		10.5		-0.008		175.9				-183.6								
9.863		1.3		-0.006		179.4				-183.6								
9.961		-2.2		-0.006		183.4				-175.8								
10.059		-13.2		-0.021		189.5				-173.7								
10.156		-21.1		-0.017		189.5				-166.7								
10.254		-29.8		-0.004		191.2				-163.7								
10.352		-33.3		0.008		198.2				-156.8								
10.449		-43.4		-0.008		198.7				-155.1								
10.547		-49.1		0.000		203.9				-152.1								
10.645		-57.5		-0.006		198.7				-147.7								
10.742		-64.9		-0.023		205.3				-141.7								
10.840		-68.4		-0.002		207.9				-141.7								
10.938		-76.3		-0.021		209.6				-130.9								
11.035		-82.5		-0.006		209.2				-127.9								
11.133		-86.8		-0.006		207.4				-123.5								
11.230		-94.7		-0.015		208.3				-119.2								
11.328		-100.4		-0.011		210.1				-114.5								
11.426		-102.2		-0.015		210.1				-106.7								
11.523		-105.7		-0.021		212.7				-105.8								
11.621		-109.6		-0.013		213.1				-111.4								
11.719		-117.5		-0.008		211.4				-118.8								
11.816		-120.6		-0.015		212.7				-122.2								
11.914		-128.1		-0.021		213.6				-126.6								
12.012		-129.4		-0.013		213.6				-129.6								
