Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		I1		E2		I2		E3		I3		E4		I4		
(ms)		(V)		(A)		(V)		(A)		(V)		(A)		(V)		(A)		
0.000		9.2		0.008		-187.4		0.011		178.8		0.256		175.7		0.269		
0.098		16.3		-0.002		-189.6		-0.011		171.3		0.258		171.7		0.259		
0.195		26.0		0.011		-191.4		-0.006		166.9		0.239		166.5		0.254		
0.293		30.8		-0.006		-197.5		-0.002		164.3		0.245		165.7		0.246		
0.391		38.3		0.006		-201.9		0.000		158.2		0.232		159.1		0.237		
0.488		44.9		-0.006		-203.2		-0.013		156.4		0.222		156.5		0.226		
0.586		53.7		0.002		-205.8		-0.008		151.2		0.226		153.0		0.220		
0.684		59.0		0.004		-206.2		0.006		150.7		0.218		147.0		0.222		
0.781		65.6		0.002		-209.3		0.004		141.5		0.209		141.7		0.201		
0.879		75.7		0.013		-208.9		-0.011		135.8		0.209		135.2		0.207		
0.977		80.5		-0.004		-214.1		0.002		129.2		0.194		132.2		0.209		
1.074		86.2		-0.004		-210.2		0.000		127.5		0.201		130.4		0.188		
1.172		91.1		0.004		-208.4		-0.011		125.3		0.182		121.7		0.186		
1.270		98.1		-0.008		-213.7		0.000		118.3		0.188		119.1		0.173		
1.367		106.5		0.002		-212.8		-0.002		116.1		0.169		113.0		0.162		
1.465		110.0		0.000		-217.6		0.002		108.7		0.163		110.4		0.152		
1.563		108.3		0.124		-212.8		0.008		105.6		0.027		109.6		0.162		
1.660		117.1		0.173		-214.6		-0.008		101.6		-0.004		117.0		0.177		
1.758		122.3		0.181		-216.7		0.011		97.3		-0.002		123.5		0.175		
1.855		124.5		0.190		-216.3		-0.008		92.0		0.000		127.0		0.194		
1.953		132.0		0.192		-215.9		0.002		84.1		-0.004		129.1		0.192		
2.051		133.3		0.186		-215.0		-0.004		81.5		-0.002		131.3		0.197		
2.148		139.5		0.205		-216.3		-0.011		76.2		-0.006		136.5		0.203		
2.246		139.5		0.202		-214.6		-0.006		69.2		-0.011		138.7		0.209		
2.344		145.2		0.213		-216.3		-0.008		61.8		0.013		146.5		0.212		
2.441		147.9		0.205		-215.9		0.002		56.5		-0.002		148.7		0.216		
2.539		152.3		0.234		-212.8		-0.002		49.1		0.000		154.3		0.224		
2.637		155.8		0.230		-209.3		0.002		42.1		0.008		157.8		0.229		
2.734		160.2		0.234		-205.8		0.011		34.2		-0.004		161.7		0.237		
2.832		164.6		0.242		-201.4		0.002		27.2		0.019		167.0		0.229		
2.930		170.7		0.253		-195.7		-0.008		21.5		0.008		170.4		0.248		
3.027		176.0		0.259		-189.2		-0.002		14.5		0.006		173.0		0.261		
3.125		181.7		0.261		-184.8		-0.015		9.2		0.000		176.5		0.248		
3.223		180.0		0.268		-178.7		0.006		-0.9		0.000		179.1		0.276		
3.320		186.1		0.272		-177.8		-0.002		-11.0		0.008		186.1		0.274		
3.418		188.3		0.283		-173.0		0.008		-14.9		0.002		187.0		0.276		
3.516		189.7		0.287		-168.1		-0.008		-24.5		-0.004		190.9		0.276		
3.613		192.7		0.278		-166.4		-0.011		-32.0		-0.002		191.7		0.282		
3.711		196.7		0.293		-160.7		-0.013		-42.5		0.002		197.0		0.288		
3.809		198.5		0.299		-157.2		-0.004		-45.1		-0.021		198.7		0.299		
