Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		I1		E2		Off		E3		Off		Off		Off		
(ms)		(V)		(A)		(V)		()		(V)		()		()		()		
0.000		4.8		-0.004		207.4				-204.8								
0.098		13.6		-0.013		203.9				-200.9								
0.195		22.4		-0.008		205.3				-204.3								
0.293		28.1		0.004		206.1				-204.3								
0.391		33.3		-0.004		205.3				-202.6								
0.488		41.2		-0.002		206.6				-203.0								
0.586		46.1		-0.008		205.7				-200.9								
0.684		54.8		0.000		206.6				-200.4								
0.781		61.8		-0.006		207.4				-201.7								
0.879		68.9		0.000		207.9				-203.0								
0.977		75.0		-0.006		205.3				-202.6								
1.074		79.4		-0.015		203.9				-207.8								
1.172		88.6		-0.002		205.7				-205.6								
1.270		94.3		-0.011		203.5				-206.0								
1.367		97.8		-0.006		204.4				-208.6								
1.465		103.1		-0.011		205.7				-208.2								
1.563		107.9		0.002		205.3				-209.9								
1.660		113.6		0.004		205.3				-210.8								
1.758		117.5		-0.006		203.5				-209.9								
1.855		118.9		0.006		205.3				-212.5								
1.953		123.7		-0.004		201.8				-213.8								
2.051		129.8		-0.021		203.9				-213.8								
2.148		130.7		-0.011		203.1				-215.1								
2.246		137.7		-0.002		205.3				-213.4								
2.344		141.2		-0.011		201.8				-213.8								
2.441		145.6		0.002		206.6				-219.9								
2.539		149.6		0.002		205.3				-216.8								
2.637		155.3		-0.017		203.5				-217.3								
2.734		158.8		-0.002		202.2				-215.6								
2.832		162.7		0.000		202.6				-216.4								
2.930		166.7		-0.004		201.8				-215.1								
3.027		173.7		-0.017		203.1				-214.7								
3.125		173.2		0.004		202.2				-216.0								
3.223		178.5		-0.019		201.3				-214.7								
3.320		181.1		-0.008		202.2				-213.8								
3.418		182.5		-0.013		202.6				-214.7								
3.516		187.7		-0.006		200.4				-216.8								
3.613		189.9		-0.006		202.6				-213.8								
3.711		195.6		-0.006		202.2				-214.3								
3.809		197.8		-0.008		199.1				-214.7								
3.906		199.6		-0.013		201.8				-214.3								
4.004		199.6		0.008		203.1				-214.3								
4.102		201.8		0.000		202.6				-211.7								
4.199		203.9		-0.008		201.8				-212.5								
4.297		203.1		0.002		202.6				-213.0								
4.395		201.3		-0.006		201.8				-211.7								
4.492		200.9		0.002		204.8				-214.3								
4.590		201.8		-0.004		200.9				-213.0								
4.688		207.5		-0.013		201.3				-211.7								
4.785		205.7		-0.015		202.2				-212.5								
4.883		202.6		-0.006		205.3				-213.0								
4.980		203.9		-0.011		200.4				-211.7								
5.078		206.6		-0.004		203.1				-214.3								
5.176		207.5		-0.013		206.6				-210.8								
5.273		207.5		0.004		207.0				-209.1								
5.371		207.9		0.011		209.2				-213.4								
5.469		208.3		-0.011		207.9				-209.9								
5.566		207.0		-0.004		205.7				-212.1								
5.664		210.1		0.000		210.1				-209.5								
5.762		209.6		-0.013		208.3				-212.1								
5.859		208.3		-0.011		209.6				-210.4								
5.957		210.5		-0.013		209.2				-212.1								
6.055		203.9		0.008		207.0				-212.1								
6.152		199.1		0.004		206.6				-210.8								
6.250		192.5		-0.008		206.6				-211.2								
6.348		188.6		-0.011		207.4				-210.4								
6.445		185.5		-0.015		206.1				-208.6								
6.543		180.3		0.002		208.3				-210.4								
6.641		174.6		-0.013		206.1				-212.5								
6.738		173.7		0.002		207.4				-211.7								
6.836		170.2		-0.004		207.0				-209.9								
6.934		164.5		0.004		210.9				-209.9								
7.031		158.3		-0.004		207.9				-209.1								
7.129		157.5		-0.015		206.1				-211.7								
7.227		150.0		0.002		207.0				-209.9								
7.324		145.6		-0.006		207.4				-210.4								
7.422		141.7		-0.004		207.9				-209.9								
7.520		139.5		0.000		207.4				-208.2								
7.617		131.1		0.006		205.3				-208.6								
7.715		126.8		0.006		207.4				-210.8								
7.813		123.7		-0.013		204.8				-207.3								
7.910		116.2		0.002		207.9				-206.0								
8.008		116.2		-0.006		204.4				-206.5								
8.105		111.4		-0.008		204.4				-207.8								
8.203		104.8		-0.017		203.9				-209.9								
8.301		100.4		-0.008		203.1				-205.6								
8.398		96.5		0.006		207.4				-209.9								
8.496		89.0		-0.002		206.1				-205.6								
8.594		86.4		-0.006		203.9				-205.6								
8.691		78.1		-0.002		209.6				-208.6								
8.789		76.8		-0.008		202.6				-210.4								
8.887		71.9		0.008		204.8				-209.9								
8.984		64.9		0.006		205.7				-207.8								
9.082		55.3		-0.015		203.5				-208.6								
9.180		48.7		-0.017		201.8				-208.6								
9.277		42.5		-0.002		206.1				-208.6								
9.375		32.5		-0.008		201.8				-207.3								
9.473		28.5		-0.002		206.6				-210.8								
9.570		23.7		-0.011		201.8				-206.5								
9.668		17.1		0.004		204.8				-207.3								
9.766		8.3		-0.011		201.3				-206.5								
9.863		4.4		-0.008		201.8				-207.8								
9.961		-4.4		-0.017		203.9				-206.0								
10.059		-13.2		-0.021		204.4				-206.9								
10.156		-19.7		0.000		203.5				-205.2								
10.254		-28.9		-0.013		201.8				-206.5								
10.352		-33.3		-0.015		200.9				-205.2								
10.449		-43.0		0.000		200.4				-206.0								
10.547		-46.5		-0.006		201.3				-203.9								
10.645		-53.1		-0.006		203.1				-205.6								
10.742		-60.5		-0.002		202.6				-204.8								
10.840		-68.0		-0.004		201.8				-205.6								
10.938		-74.6		-0.021		203.5				-202.6								
11.035		-81.6		-0.013		204.8				-206.9								
11.133		-85.1		-0.019		200.9				-203.0								
11.230		-93.0		-0.021		205.3				-204.8								
11.328		-98.2		-0.002		207.4				-206.0								
11.426		-100.4		-0.019		209.2				-203.0								
11.523		-108.3		-0.011		211.4				-204.8								
11.621		-111.0		-0.008		211.8				-205.6								
11.719		-115.8		-0.015		209.6				-203.5								
11.816		-120.2		-0.019		211.4				-206.0								
11.914		-125.0		-0.004		212.7				-202.2								
12.012		-128.9		0.002		213.6				-207.3								
12.109		-132.9		-0.008		214.4				-203.9								
