Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		I1		E2		I2		E3		I3		E4		I4		
(ms)		(V)		(A)		(V)		(A)		(V)		(A)		(V)		(A)		
0.000		5.3		-0.008		-184.8		-0.268		177.0		0.266		362.2		0.267		
0.098		15.4		0.006		-186.5		-0.266		171.7		0.260		358.3		0.263		
0.195		21.6		-0.002		-192.2		-0.262		167.8		0.260		360.0		0.261		
0.293		29.9		-0.011		-195.3		-0.277		163.0		0.266		355.7		0.261		
0.391		36.1		0.000		-199.2		-0.270		158.6		0.275		356.1		0.248		
0.488		44.9		-0.002		-199.7		-0.270		154.7		0.270		355.2		0.250		
0.586		50.6		0.006		-206.2		-0.262		151.6		0.258		350.4		0.261		
0.684		58.1		0.000		-203.6		-0.264		145.5		0.258		350.0		0.244		
0.781		66.0		0.002		-208.4		-0.268		142.8		0.264		347.0		0.256		
0.879		75.2		-0.004		-209.7		-0.249		134.5		0.256		344.3		0.254		
0.977		81.4		-0.006		-209.7		-0.247		131.0		0.251		342.6		0.241		
1.074		86.2		-0.008		-210.6		-0.239		126.6		0.253		339.6		0.241		
1.172		89.8		0.006		-212.8		-0.260		125.7		0.247		336.1		0.246		
1.270		98.1		-0.002		-212.8		-0.247		117.9		0.241		327.8		0.246		
1.367		103.4		0.000		-214.1		-0.239		113.0		0.237		327.4		0.231		
1.465		107.4		-0.017		-215.4		-0.253		108.2		0.228		320.9		0.220		
1.563		107.4		0.080		-214.6		-0.241		106.9		0.131		320.4		0.224		
1.660		114.4		0.232		-213.7		-0.249		103.0		0.000		326.1		0.250		
1.758		118.4		0.242		-215.4		-0.255		99.0		0.002		331.3		0.246		
1.855		125.4		0.242		-214.6		-0.247		91.6		0.006		337.0		0.261		
1.953		127.2		0.249		-217.2		-0.255		87.6		0.002		341.7		0.248		
2.051		133.3		0.253		-216.3		-0.247		78.4		0.002		346.5		0.256		
2.148		135.1		0.249		-215.0		-0.255		74.9		-0.002		348.3		0.261		
2.246		139.1		0.240		-215.0		-0.251		74.5		-0.002		353.0		0.248		
2.344		140.4		0.249		-215.9		-0.251		67.0		-0.002		353.5		0.256		
2.441		147.9		0.270		-214.1		-0.260		58.3		0.002		357.8		0.263		
2.539		152.7		0.274		-210.6		-0.272		50.8		0.004		359.6		0.256		
2.637		154.5		0.257		-209.3		-0.264		43.4		0.006		362.6		0.265		
2.734		159.7		0.261		-204.9		-0.270		37.2		-0.002		362.2		0.256		
2.832		165.9		0.257		-199.7		-0.266		29.4		0.000		363.0		0.265		
2.930		167.2		0.266		-195.7		-0.277		23.2		0.000		362.6		0.271		
3.027		171.2		0.251		-190.5		-0.268		16.6		0.000		360.9		0.269		
3.125		179.1		0.259		-185.2		-0.272		10.1		0.008		357.8		0.252		
3.223		178.2		0.264		-180.4		-0.266		3.5		0.006		357.8		0.259		
3.320		183.9		0.255		-176.5		-0.270		-5.3		0.000		359.6		0.252		
3.418		188.8		0.257		-171.6		-0.264		-16.6		-0.008		356.5		0.263		
3.516		190.1		0.272		-169.9		-0.260		-24.1		-0.008		357.0		0.269		
3.613		191.9		0.259		-165.5		-0.268		-29.4		-0.002		356.5		0.254		
3.711		195.4		0.257		-160.3		-0.268		-38.6		0.004		353.5		0.261		
3.809		198.0		0.251		-156.3		-0.260		-47.3		0.004		352.6		0.259		
